Future Close (AAPL),Year,Month,Day,Open (AAPL),High (AAPL),Low (AAPL),Close (AAPL),Volume (AAPL),Open  (VGT),High (VGT),Low (VGT),Close (VGT),Volume (VGT),Open (IYW),High (IYW),Low (IYW),Close (IYW),Volume (IYW),Open (SPY),High (SPY),Low (SPY),Close (SPY),Volume (SPY),Open (AMZN),High (AMZN),Low (AMZN),Close (AMZN),Volume (AMZN),Open (MSFT),High (MSFT),Low (MSFT),Close (MSFT),Volume (MSFT),Open (GOOGL),High (GOOGL),Low (GOOGL),Close (GOOGL),Volume (GOOGL),Open (ADI),High (ADI),Low (ADI),Close (ADI),Volume (ADI),Open (QCOM),High (QCOM),Low (QCOM),Close (QCOM),Volume (TXN),Open (TXN),High (TXN),Low (TXN),Close (TXN),Volume (TXN)
5.1635,2005,3,11,5.1406,5.198,5.0968,5.1573,175363191,5.1635,41.947,41.328,41.401,2776,43.274,43.274,42.426,42.54,36777,105.88,106.04,104.66,104.88,66729930,34.81,34.87,34.05,34.75,8010280,21.323,21.367,21.016,21.04,72156511,90.22,90.475,88.575,88.9,16056600,31.426,31.758,30.681,30.787,6762269,31.813,32.069,31.536,31.577,26438346,22.849,22.896,21.994,22.096,21448316
5.2453,2005,3,14,5.189,5.2235,5.0611,5.1635,168811933,5.2453,41.62,41.476,41.62,535,42.696,42.743,42.455,42.649,35060,104.89,105.56,104.78,105.54,41713280,34.66,34.75,34,34.6,5433688,20.998,21.09,20.93,21.057,78157235,89.165,89.2,86.285,87.495,22293200,30.787,31.101,30.663,30.854,3425636,31.779,31.956,31.281,31.671,15697999,22.079,22.214,21.827,22.146,17178387
5.2735,2005,3,15,5.2059,5.2685,5.1546,5.2453,142565244,5.2735,41.553,41.292,41.292,1388,42.715,42.789,42.21,42.21,25948,105.78,105.82,104.6,104.65,71730138,34.55,34.85,33.9,34.18,5072672,21.031,21.165,20.873,20.89,85229205,87.65,90,87.105,89.305,20844200,31.071,31.071,30.275,30.323,3909358,32.043,32.438,31.875,32.219,25556213,22.079,22.214,21.604,21.691,18344108
5.4106,2005,3,16,5.2774,5.418,5.2223,5.2735,194688663,5.4106,41.32,40.747,40.747,2136,42.034,42.435,41.735,41.866,94892,104.27,104.44,103.59,103.77,88074366,34.18,34.44,33.6,33.87,5372731,20.77,20.938,20.597,20.654,89408822,88.35,89.305,87.505,87.8,14212600,30.223,30.564,29.686,29.783,4025862,32.098,32.583,31.787,31.923,25409420,21.566,22.036,21.329,21.463,15561834
5.5016,2005,3,17,5.3209,5.4914,5.2914,5.4106,223864044,5.5016,41.019,40.776,40.849,5127,41.801,42.024,41.699,41.782,42354,103.94,104.31,103.65,103.99,72019178,33.63,34.44,33.58,33.97,4909052,20.646,20.697,20.57,20.579,72261826,88.565,89.82,87.9,89.645,16521200,29.801,30.157,29.618,29.868,2666821,31.883,31.956,31.136,31.18,19101838,21.548,21.817,21.419,21.623,11844467
5.5963,2005,3,18,5.5426,5.5631,5.4427,5.5016,267630167,5.5963,40.7,40.486,40.486,47848,41.801,41.829,41.391,41.455,50610,103.75,104.13,102.93,103.26,71037158,34.1,34.28,33.65,34.16,5294963,20.538,20.89,20.362,20.386,175488569,89.405,90.2,89.155,90.02,14180000,29.877,29.967,29.469,29.711,3250523,30.79,31.062,30.46,30.833,26861797,21.674,21.674,21.067,21.454,20192003
5.4849,2005,3,21,5.5476,5.6309,5.4888,5.5963,150909694,5.4849,40.719,40.429,40.616,1281,41.689,41.81,41.297,41.633,50179,103.42,103.48,102.59,102.89,70515555,34.2,34.63,33.54,33.67,6085309,20.41,20.428,20.251,20.294,85394122,89.635,91.085,88.625,90.44,14967400,29.618,29.842,29.228,29.61,3884517,30.688,31.257,30.612,30.883,14954265,21.444,21.597,21.16,21.267,12223914
5.4491,2005,3,22,5.6,5.6295,5.4659,5.4849,153824003,5.4491,40.776,40.26,40.26,1494,41.735,41.894,41.213,41.27,36885,103.11,103.6,101.85,101.85,107137486,33.72,33.94,33.07,33.15,5523102,20.277,20.353,20.093,20.118,121997032,90.59,90.97,88.925,89.3,11263400,29.885,30.431,29.711,29.711,4279963,31.085,31.417,30.41,30.437,17837506,21.54,21.708,21.085,21.085,13774890
5.4427,2005,3,23,5.4427,5.5579,5.3813,5.4491,170221155,5.4427,40.55,40.335,40.495,13139,41.241,41.652,41.223,41.372,28417,101.87,102.56,101.71,101.93,82588253,33.01,33.84,32.82,33.18,6337154,20.102,20.453,20.093,20.277,94646035,88.985,90.12,88.985,89.49,9690000,29.58,30.531,29.58,30.04,3220739,30.369,31.009,30.333,30.697,14995549,21.016,21.566,20.98,21.372,12212294
5.4466,2005,3,24,5.504,5.5065,5.4427,5.4427,98439294,5.4466,40.823,40.569,40.795,1388,41.576,41.829,41.539,41.596,54685,102.33,102.79,101.98,102.05,59713798,33.37,33.88,32.87,32.88,5344247,20.335,20.521,20.294,20.362,94219593,90.35,90.43,89.6,89.625,7410400,30.04,30.214,29.686,29.686,3024402,30.74,30.983,30.23,30.23,15257024,21.444,21.733,21.388,21.515,9626379
5.3465,2005,3,28,5.4746,5.5016,5.4386,5.4466,76349185,5.3465,40.786,40.523,40.523,535,41.689,41.876,41.519,41.519,220239,102.29,102.75,102.19,102.19,53885043,33.02,33.65,33.02,33.39,4309558,20.462,20.521,20.277,20.294,59145349,90.84,92.4,90.475,90.71,17476000,29.751,30.142,29.571,29.571,2088184,30.318,30.909,30.239,30.595,14816055,21.523,21.884,21.47,21.497,11427199
5.481,2005,3,29,5.4466,5.4849,5.3147,5.3465,128646798,5.481,40.55,40.102,40.102,5234,41.381,41.707,41.081,41.362,170055,102.05,102.71,101.27,101.51,83849903,33.36,34.15,33.23,33.43,6137259,20.251,20.327,19.976,20.059,88435662,90.525,91.64,89.035,89.785,12946000,29.377,29.818,29.078,29.121,3941925,30.485,30.816,29.903,30.223,18439322,21.38,21.623,21.123,21.236,15111956
5.3364,2005,3,30,5.3774,5.481,5.3556,5.481,109881234,5.3364,40.757,40.4,40.757,3310,41.429,41.939,41.352,41.847,33238,101.85,102.98,101.72,102.96,72199510,33.51,34.52,33.51,34.32,5349775,20.144,20.286,20.126,20.26,70930930,90.32,90.725,89.8,90.225,12472200,29.212,30.126,29.212,30.126,4166361,30.477,31.281,30.444,31.204,21204006,20.662,21.784,20.662,21.717,13879830
5.2366,2005,3,31,5.4361,5.4454,5.3261,5.3364,177446775,5.2366,40.813,40.633,40.681,12283,41.93,41.958,41.699,41.782,28417,102.97,103.19,102.68,102.77,74669192,34.46,34.55,34,34.27,3554676,20.353,20.386,20.226,20.268,74390783,88.975,90.695,88.82,90.255,13537200,30.126,30.189,29.81,29.967,2922008,31.239,31.459,30.74,30.969,16838653,21.717,21.717,21.337,21.497,13665324
5.2621,2005,4,1,5.3901,5.4016,5.1955,5.2366,178626772,5.2621,40.98,40.296,40.4,5555,42.156,42.184,41.391,41.473,49967,103.34,103.66,101.85,102.3,111800673,34.49,34.71,33.78,34.01,5025134,20.318,20.419,20.21,20.226,76710642,90.88,91.475,89.995,90.02,12364000,30.182,30.266,29.478,29.61,3233518,30.969,31.062,29.918,30.055,23364109,21.741,21.749,20.99,21.05,16822654
5.3645,2005,4,4,5.2235,5.2901,5.1428,5.2621,161757381,5.3645,40.55,40.156,40.55,962,41.482,41.669,41.146,41.643,51575,102.24,102.67,101.7,102.48,82200501,33.98,35.18,33.81,35,7347786,20.21,20.344,20.076,20.318,74168592,89.975,92.66,89.92,92.645,16152800,29.61,29.801,29.189,29.519,2901992,30.139,30.731,29.8,30.503,15449241,20.788,21.506,20.644,20.956,17610002
5.4209,2005,4,5,5.2748,5.4094,5.2621,5.3645,155700131,5.4209,40.588,40.439,40.448,1174,41.643,41.801,41.464,41.539,30022,102.6,103.12,102.52,102.97,57487581,35.07,35.34,34.99,35.28,4939470,20.302,20.545,20.226,20.521,87808336,93.865,95.13,93.785,94.285,17473400,29.519,29.891,29.204,29.279,3315285,30.511,30.807,30.03,30.139,15466403,20.933,21.244,20.856,20.973,13464696
5.5782,2005,4,6,5.4301,5.4823,5.3978,5.4209,115875061,5.5782,40.7,40.513,40.513,4912,41.689,41.939,41.455,41.464,29057,103.19,103.62,102.96,103.32,61195953,35.12,35.2,34.62,34.82,5301976,20.521,20.914,20.503,20.687,93154868,94.62,94.825,93.79,94.61,10505200,29.483,29.686,29.279,29.361,3430097,29.903,30.419,29.522,29.69,16903888,21.077,21.267,20.822,20.856,12163674
5.6013,2005,4,7,5.4209,5.6025,5.4106,5.5782,141597901,5.6013,40.841,40.579,40.841,1922,41.547,42.147,41.547,42.147,23910,103.15,103.89,103.06,103.87,54209783,34.62,34.92,34.5,34.9,3826301,20.654,21.074,20.654,21.048,92472778,94.39,97.31,94.32,96.88,19384400,29.361,29.934,29.296,29.925,2870996,29.588,30.139,29.495,29.734,16784205,20.956,21.26,20.711,21.141,10669257
5.3684,2005,4,8,5.5861,5.6923,5.5759,5.6013,181285925,5.3684,40.915,40.616,40.616,1710,42.015,42.193,41.699,41.699,48895,103.81,103.85,102.8,102.8,73804604,34.75,34.93,34.57,34.6,3012945,21.024,21.173,20.89,20.914,57187598,96.845,97.55,95.725,96.025,10233200,29.925,30.049,29.571,29.58,2093492,29.809,29.871,29.402,29.505,17239426,21.141,21.329,20.998,21.007,9304919
5.4632,2005,4,11,5.6653,5.6665,5.367,5.3684,229275996,5.4632,40.681,40.278,40.373,1710,41.782,41.829,41.447,41.473,30022,103.04,103.16,102.65,102.89,52639928,34.55,35,34.36,34.6,3253046,20.981,21.057,20.848,20.938,57475561,96.545,97.4,96.16,96.615,10821000,29.642,29.768,29.253,29.304,1373388,29.505,29.658,29.05,29.16,17276031,21.067,21.141,20.788,20.83,9342270
5.2556,2005,4,12,5.4441,5.5308,5.38,5.4632,274084040,5.2556,40.439,39.839,40.439,2991,41.464,41.754,40.952,41.754,42782,102.7,103.72,101.98,103.41,99373733,34.4,34.64,33.66,34.63,6203288,20.89,21.259,20.797,21.233,80745465,96.5,97.21,94.705,96.98,14639200,29.304,29.312,28.267,28.961,4659853,29.04,29.337,28.661,29.252,20343602,20.814,20.862,19.819,20.426,33709584
4.7717,2005,4,13,5.504,5.5052,5.1724,5.2556,392996341,4.7717,40.195,39.839,39.856,641,41.547,41.557,40.925,41.036,56615,103.28,103.5,102.04,102.18,75829826,34.35,34.71,34.15,34.3,4245091,21.139,21.341,20.956,20.998,72682061,96.735,97.16,94.865,96.465,13111600,28.856,28.865,28.11,28.276,2713612,29.075,29.217,27.806,27.814,32096810,20.256,20.283,19.93,19.938,16071593
4.5271,2005,4,14,4.9687,5.1198,4.7178,4.7717,769047131,4.5271,39.794,39.341,39.351,7371,40.98,41.064,40.373,40.429,112583,102.31,102.37,100.86,100.86,114379408,34.25,34.5,33.88,33.97,4186101,20.964,21.082,20.822,20.829,80370676,96.635,97.18,95.05,95.725,12305400,28.806,28.806,27.694,27.902,3427082,28.128,28.719,27.647,28.38,32593577,19.867,20.047,19.659,19.725,19148178
4.5615,2005,4,15,4.6884,4.7704,4.5182,4.5271,482438341,4.5615,38.745,38.022,38.022,5555,39.526,39.74,38.956,39.152,199867,100.83,101.22,99.399,99.439,153892870,33.78,34,33.02,33.02,5998485,20.588,20.882,20.469,20.512,119936351,95.05,95.17,92.33,92.5,23154800,27.653,27.662,27.073,27.231,5389964,28.178,28.609,27.62,27.637,25693344,19.533,19.548,19.017,19.194,24012887
4.7497,2005,4,18,4.4911,4.6487,4.3538,4.5615,370169445,4.7497,38.266,38.014,38.258,2243,39.162,39.385,38.956,39.171,73341,99.419,100.15,99.269,99.75,115154806,32.93,33.58,32.84,33,6934540,20.477,20.829,20.462,20.671,90352472,92.29,93.94,91.745,93.485,13100600,27.445,27.937,27.331,27.662,3489555,27.121,28.034,27.121,27.494,21363116,18.984,19.659,18.984,19.33,19176634
4.5476,2005,4,19,4.6821,4.7948,4.5938,4.7497,303124477,4.5476,38.659,38.407,38.659,6728,39.655,39.796,39.347,39.626,49967,100.27,100.8,100.04,100.55,78518182,33.13,33.37,32.01,32.78,6585134,20.723,20.797,20.503,20.654,78925110,94.665,96,94.015,95.7,16860000,28.077,28.367,27.984,28.07,4392966,27.663,28.121,27.647,27.731,18496521,20.51,21.043,20.256,20.383,24830351
4.7615,2005,4,20,4.8227,4.8332,4.5384,4.5476,266453208,4.7615,38.902,38.387,38.387,3097,39.991,40.131,39.3,39.385,121274,100.54,100.73,98.916,99.12,131823084,33.16,33.76,32.9,33.25,9254361,20.671,20.714,20.377,20.393,110283866,99.29,100.25,97.955,99.05,30903000,28.209,28.401,27.579,27.712,5803380,27.899,28.263,27.655,28.076,25673551,20.493,20.578,20.037,20.256,18181778
4.5462,2005,4,21,4.6591,4.7652,4.5974,4.7615,212976462,4.5462,39.427,38.922,39.409,3524,39.776,40.606,39.731,40.41,272563,100,101.23,99.64,101.06,100403045,33.5,33.89,32.89,33.73,7696926,20.529,21.291,20.521,21.199,112002466,100.21,102.5,99.66,102.11,35503800,28.07,28.549,27.826,28.483,3355444,27.924,29.642,27.899,29.345,43028091,20.612,20.99,20.398,20.814,17742094
4.7358,2005,4,22,4.7125,4.7382,4.4692,4.5462,234139228,4.7358,39.203,38.688,38.688,2136,40.3,40.344,39.712,40.048,146255,100.83,101.48,99.55,100.68,103125842,33.63,33.63,32.91,33.04,6395897,21.006,21.173,20.779,20.947,95538847,111.45,112,107.13,107.9,66410200,28.317,28.35,27.712,28.025,2408977,29.108,29.495,28.397,28.675,17866738,20.814,20.837,20.349,20.596,10284835
4.6345,2005,4,25,4.6727,4.7409,4.6244,4.7358,208444405,4.6345,39.341,39.268,39.268,1922,40.232,40.561,40.131,40.354,275134,100.94,101.48,100.81,101.33,60109934,33.15,33.59,33.05,33.53,4255136,21.006,21.199,20.848,20.956,90070865,108.91,112.37,108.76,111.76,39680000,28.093,28.301,27.902,27.947,2664409,28.879,29.386,28.675,29.31,15506237,20.644,20.871,20.569,20.765,11127437
4.6038,2005,4,26,4.7064,4.8036,4.6258,4.6345,226668409,4.6038,39.409,38.987,38.987,4272,40.187,40.681,39.907,39.907,114192,101.03,101.72,100.31,100.36,86510249,33.28,33.98,32.58,32.71,14985758,20.897,21.173,20.746,20.761,72671488,110.11,111,109.14,109.38,34544000,27.91,28.706,27.779,27.796,3133303,29.085,29.633,28.87,29.168,22677785,20.678,21.254,20.535,20.694,13857773
4.5513,2005,4,27,4.5845,4.6564,4.5476,4.6038,171368346,4.5513,38.949,38.583,38.949,535,39.684,40.196,39.626,40.038,73985,100.07,101.11,99.7,100.75,97784824,30.77,31.74,30.6,31.72,31089796,20.663,21.09,20.654,20.956,56980193,109,110.42,108.37,109.89,20529600,27.57,28.043,27.287,27.662,2856524,28.87,30.014,28.845,29.886,20886037,20.644,20.871,20.453,20.837,10563608
4.6177,2005,4,28,4.6463,4.6537,4.5129,4.5513,160641789,4.6177,38.754,38.417,38.417,7371,39.907,40.048,39.526,39.526,32597,100.42,100.78,99.488,99.488,85253199,31.72,32.92,31.63,32.52,14481512,20.804,20.897,20.495,20.503,100399853,109.75,111.04,108.86,109.72,17365600,27.721,28.317,27.721,27.796,3730270,29.588,29.928,29.32,29.456,15475176,20.686,21.108,20.587,20.755,15911041
4.6653,2005,4,29,4.6167,4.6396,4.5102,4.6177,187399760,4.6653,38.854,38.35,38.854,9825,39.955,40.067,39.449,40.011,27233,100.25,100.95,99.279,100.84,119708368,32.71,32.89,31.52,32.36,10532525,20.839,21.217,20.789,21.217,117677584,110.96,111.12,108.91,110,18340400,28.084,28.425,27.57,28.282,2973265,29.505,29.744,28.923,29.495,17371626,20.915,21.077,20.621,21.05,15256143
4.637,2005,5,2,4.6422,4.6933,4.6128,4.6653,129954717,4.637,39.027,38.826,38.826,426,40.196,40.3,39.878,40.178,81812,101.11,101.4,100.65,101.4,64351500,32.33,33.28,32.1,33.1,9119126,21.173,21.267,20.922,21.157,64870032,111.02,111.85,110.1,111.14,19534800,28.282,28.509,27.961,28.07,2297909,29.464,29.862,29.386,29.633,10615574,21.085,21.293,21.025,21.194,15069861
4.7575,2005,5,3,4.6615,4.7052,4.6141,4.637,138580983,4.7575,39.248,38.977,38.977,1069,40.093,40.552,40.02,40.242,22840,101.11,101.8,100.78,101.58,99768723,32.95,33.56,32.89,33.21,6789178,21.057,21.298,21.04,21.267,81293771,110.92,114.08,110.66,113.1,35560400,28.07,28.401,27.82,27.919,2965547,29.667,29.791,29.183,29.31,14672949,21.123,21.405,21.1,21.254,11218385
4.6972,2005,5,4,4.6422,4.7637,4.6231,4.7575,126218196,4.6972,39.54,39.229,39.492,4486,40.336,40.906,40.309,40.736,56184,101.61,102.58,101.29,102.37,94687011,33.28,34.12,33.27,33.96,7772897,21.275,21.298,21.057,21.139,103616690,113.62,114.94,113.5,114.25,24167000,28.185,28.74,28.07,28.658,3451562,29.478,30.23,29.345,30.139,13407549,21.412,21.876,21.311,21.741,13445368
4.7691,2005,5,5,4.7637,4.7729,4.6703,4.6972,108044030,4.7691,39.624,39.409,39.474,1710,40.87,40.99,40.552,40.681,30022,102.52,102.8,101.7,102.33,111716417,33.99,34.18,33.59,33.96,4617395,21.109,21.243,21.031,21.157,70805914,114.31,114.31,112.94,113.49,15019200,28.534,29.155,28.534,28.706,2333606,30.03,30.318,29.549,29.725,13541478,22.002,22.071,21.665,21.96,14430024
4.7344,2005,5,6,4.7358,4.7806,4.7114,4.7691,91044836,4.7344,39.67,39.558,39.67,2991,41.036,41.064,40.803,40.886,76018,102.74,102.79,101.98,102,79897373,34.2,34.69,34.14,34.52,6720138,21.217,21.367,21.124,21.148,76717239,114.2,114.62,113.24,114.01,13527800,28.898,28.937,28.589,28.706,2255579,29.945,30.276,29.893,30.08,12513815,22.089,22.382,21.994,22.272,12941298
4.664,2005,5,9,4.7717,4.7961,4.7064,4.7344,99190182,4.664,39.726,39.427,39.63,3524,40.832,41.11,40.716,41.11,38384,102.12,102.88,101.97,102.64,50480401,34.37,34.8,34.25,34.64,4438354,21.148,21.243,21.006,21.057,73780135,114,114.25,112.72,113.01,11073600,28.606,28.898,28.44,28.65,2700227,30.064,30.713,29.791,30.47,16026967,22.121,22.272,21.936,22.257,10935584
4.5602,2005,5,10,4.6959,4.7704,4.6525,4.664,124488615,4.5602,39.604,39.248,39.248,2562,40.878,40.886,40.429,40.579,56615,102.24,102.37,101.39,101.58,86131214,34.37,34.47,34.02,34.23,5477482,21.006,21.031,20.813,20.882,74667002,112.74,113.9,112.36,113.9,12691600,28.534,28.675,28.192,28.301,2287417,30.191,30.41,29.809,30.088,10865647,22.18,22.188,21.658,21.827,11836523
4.3708,2005,5,11,4.5143,4.568,4.2401,4.5602,572078532,4.3708,39.68,39.203,39.68,1388,40.822,40.943,40.3,40.943,65515,101.86,102.27,100.93,102.14,105653263,34.23,34.51,33.65,33.82,6146615,20.873,20.938,20.663,20.89,70992401,114.48,115.99,113.96,115.64,22957600,28.549,28.598,27.779,28.242,2902593,30.088,30.688,29.751,30.563,12889924,21.85,22.036,21.388,22.011,11384155
4.4528,2005,5,12,4.5358,4.5576,4.3538,4.3708,270744354,4.4528,39.969,39.492,39.492,1174,40.85,41.231,40.736,40.961,89639,102.2,102.44,100.55,101.02,109708871,33.7,34.12,33.55,33.85,6007683,20.822,21.057,20.822,20.964,88923687,115.4,116.12,114.1,114.36,17896400,28.392,28.822,28.209,28.448,5190613,30.401,30.767,29.979,30.175,12042269,21.928,22.484,21.928,22.197,14037063
4.5526,2005,5,13,4.3862,4.5117,4.363,4.4528,196689936,4.5526,40.353,39.904,40.138,8970,41.064,41.716,41.054,41.439,112583,101.3,101.58,100.01,100.81,98078796,33.85,34.35,33.8,33.9,3991781,20.981,21.284,20.956,21.217,92325244,114.59,115.54,113.66,114.62,14831000,28.946,30.015,28.65,29.429,7458610,30.175,30.268,29.581,29.843,19867315,22.331,22.553,22.222,22.349,18002965
4.5282,2005,5,16,4.4398,4.5732,4.4219,4.5526,132290797,4.5282,40.541,40.138,40.541,5661,41.501,41.958,41.455,41.894,41604,100.79,101.79,100.76,101.75,56650079,33.93,34.77,33.92,34.54,4280686,21.132,21.385,20.386,21.376,60323981,114.84,115.81,114.28,115.52,11362800,29.571,30.223,29.336,30.198,4962680,29.597,29.997,29.431,29.878,9387026,22.349,22.957,22.222,22.736,15431162
4.5899,2005,5,17,4.4988,4.5411,4.4231,4.5282,164419133,4.5899,40.642,40.268,40.579,2350,41.735,42.147,41.567,42.08,71839,101.42,102.54,101.19,102.43,70500172,34.35,34.82,34.09,34.73,3315681,21.217,21.385,21.173,21.35,47832536,115.28,116.72,115.1,116.56,15617800,30.126,30.539,30.023,30.431,2999918,29.541,30.53,29.541,30.511,12094776,22.768,23.14,22.678,23.116,12931814
4.8086,2005,5,18,4.5462,4.8098,4.4809,4.5899,177573060,4.8086,41.476,40.906,41.356,6515,41.978,42.901,41.978,42.743,157190,102.87,103.73,102.81,103.49,89597157,34.79,35.97,34.73,35.33,9570265,21.385,21.67,21.316,21.551,84885430,116.8,119.98,116.76,119.58,24624000,30.457,30.714,30.058,30.564,3080843,30.64,31.45,30.511,30.899,20127813,23.091,23.401,22.913,23.242,15132590
4.8086,2005,5,19,4.5845,4.8253,4.5819,4.8086,221611987,4.8086,41.62,41.337,41.62,2991,42.866,43.107,42.808,43.088,67012,103.68,104.03,103.41,103.92,72144985,35.35,35.91,35.33,35.59,5357240,21.576,21.846,21.551,21.735,62230145,120.17,120.58,119.14,119.59,19433000,30.681,30.889,30.44,30.589,2701797,30.621,31.18,30.392,30.952,16858039,23.225,23.496,22.913,23.091,13433628
5.0918,2005,5,20,4.7819,4.8216,4.7626,4.8086,126332850,5.0918,41.786,41.496,41.786,1603,43.04,43.237,42.875,43.218,51360,103.97,104.01,103.45,103.77,53290553,35.35,35.6,34.96,35.5,5044474,21.718,21.735,21.576,21.584,76901377,120.6,120.84,119.82,120.8,16327000,30.654,30.845,30.266,30.746,1851086,30.917,31.702,30.722,31.561,16282394,23.175,23.453,22.965,23.362,13379915
5.0842,2005,5,23,4.865,5.1097,4.8471,5.0918,291180906,5.0842,41.991,41.796,41.991,3205,43.274,43.527,43.174,43.367,72269,103.85,104.56,103.83,104.35,58880085,35.5,36.02,35.39,35.68,5738582,21.584,21.861,21.584,21.678,90075893,121.58,129.05,121.36,127.72,42776600,30.755,30.83,30.214,30.291,2783080,31.466,31.914,31.204,31.442,15905457,23.21,23.362,22.997,23.091,14185757
