Future Close (AAPL),Year,Month,Day,Open (AAPL),High (AAPL),Low (AAPL),Close (AAPL),Volume (AAPL)
5.5308,2005,08,01,5.4553,5.5172,5.3888,5.4746,88075776
5.5348,2005,08,02,5.4927,5.5707,5.4567,5.5308,82918991
5.4695,2005,08,03,5.5308,5.5464,5.4772,5.5348,72951250
5.5052,2005,08,04,5.504,5.5065,5.4154,5.4695,76184388
5.4619,2005,08,05,5.4454,5.5528,5.3813,5.5052,67611269
5.6116,2005,08,08,5.5065,5.5389,5.4567,5.4619,49312217
5.5554,2005,08,09,5.5052,5.6207,5.4949,5.6116,108057501
5.6347,2005,08,10,5.6347,5.6848,5.5464,5.5554,101379479
5.9036,2005,08,11,5.5566,5.6499,5.5389,5.6347,76003131
6.1059,2005,08,12,5.5657,5.9191,5.5528,5.9036,260130637
5.9228,2005,08,15,5.9623,6.1894,5.9488,6.1059,303022029
6.0381,2005,08,16,6.0715,6.0829,5.9177,5.9228,150163756
5.9292,2005,08,17,5.9522,6.0753,5.9383,6.0381,141460054
5.8691,2005,08,18,6.019,6.019,5.859,5.9292,123422177
5.8743,2005,08,19,5.9228,5.9805,5.8614,5.8691,106504647
5.8576,2005,08,22,5.9126,5.9868,5.7961,5.8743,108173172
5.8614,2005,08,23,5.8856,5.9036,5.8036,5.8576,82448915
5.8986,2005,08,24,5.8409,6.0343,5.8383,5.8614,159500136
5.8576,2005,08,25,5.906,5.9535,5.8663,5.8986,77043026
5.8703,2005,08,26,5.9177,5.9345,5.8089,5.8576,72802432
5.9638,2005,08,29,5.8036,5.8946,5.7961,5.8703,71339545
6.0049,2005,08,30,5.8895,5.9921,5.8806,5.9638,144650701
5.9243,2005,08,31,5.9972,6.0227,5.9256,6.0049,112376006
5.9191,2005,09,01,6.019,6.0407,5.9025,5.9243,99352590
6.2492,2005,09,02,5.9446,5.9933,5.906,5.9191,62007559
6.2341,2005,09,06,5.9791,6.2596,5.9612,6.2492,228209875
6.3748,2005,09,07,6.2839,6.3263,6.1366,6.2341,268406042
6.5708,2005,09,08,6.3237,6.4183,6.2932,6.3748,195927825
6.5823,2005,09,09,6.4033,6.5762,6.3763,6.5708,171695677
6.5083,2005,09,12,6.5566,6.6116,6.4773,6.5823,126205513
6.3534,2005,09,13,6.544,6.5683,6.4439,6.5083,137444725
6.3864,2005,09,14,6.5543,6.5556,6.3341,6.3534,132304903
6.5581,2005,09,15,6.4033,6.4263,6.3174,6.3864,112889017
6.7411,2005,09,16,6.4313,6.5581,6.3965,6.5581,164771845
6.8117,2005,09,19,6.5375,6.7735,6.5375,6.7411,218488130
6.6733,2005,09,20,6.7874,6.8911,6.7769,6.8117,228763721
6.6462,2005,09,21,6.7874,6.7936,6.6415,6.6733,121023080
6.8129,2005,09,22,6.6529,6.7193,6.5723,6.6462,129321885
6.8948,2005,09,23,6.672,6.8512,6.6387,6.8129,155727470
6.8436,2005,09,26,6.9384,6.9871,6.8282,6.8948,152418192
6.5413,2005,09,27,6.9151,6.946,6.8423,6.8436,95282512
6.7029,2005,09,28,6.7962,6.8014,6.4788,6.5413,313859506
6.8654,2005,09,29,6.5566,6.7348,6.507,6.7029,177605826
6.9714,2005,09,30,6.7053,6.8706,6.6439,6.8654,148030444
6.8835,2005,10,03,6.9359,6.9844,6.8742,6.9714,141517615
6.759,2005,10,04,7.0398,7.0884,6.8693,6.8835,150428307
6.621,2005,10,05,6.9575,6.9615,6.7553,6.759,170303943
6.5695,2005,10,06,6.8268,6.8501,6.5144,6.621,211205526
6.4504,2005,10,07,6.6258,6.6502,6.4733,6.5695,189042294
6.6066,2005,10,10,6.6462,6.6475,6.4391,6.4504,141505636
6.307,2005,10,11,6.5657,6.6425,6.4543,6.6066,338562315
6.8822,2005,10,12,6.229,6.4414,6.1301,6.307,751820583
6.9151,2005,10,13,6.3428,6.9092,6.3096,6.8822,519953389
6.8436,2005,10,14,6.8822,6.9604,6.7601,6.9151,288777529
6.686,2005,10,17,6.9151,6.9447,6.7463,6.8436,172007646
7.0359,2005,10,18,6.8194,6.9092,6.6847,6.686,169958934
7.1895,2005,10,19,6.6682,7.0385,6.5581,7.0359,281225314
7.1278,2005,10,20,6.9999,7.2355,6.9604,7.1895,378487355
7.2728,2005,10,21,7.2971,7.2971,7.0896,7.1278,221522567
7.1846,2005,10,24,7.1138,7.2728,7.0551,7.2728,170578017
7.3034,2005,10,25,7.2225,7.2803,7.1318,7.1846,130023884
7.0958,2005,10,26,7.2076,7.3711,7.1614,7.3034,176447614
6.9755,2005,10,27,7.2983,7.3008,7.0958,7.0958,114915650
7.3752,2005,10,28,7.1779,7.2266,6.9372,6.9755,214728236
7.3636,2005,10,31,7.0741,7.425,7.0114,7.3752,263084340
7.6773,2005,11,01,7.3327,7.4457,7.2829,7.3636,209483745
7.9207,2005,11,02,7.3942,7.6837,7.3763,7.6773,240592728
7.831,2005,11,03,7.7542,7.9807,7.6928,7.9207,246540209
7.7132,2005,11,04,7.7337,7.8425,7.6352,7.831,244879684
7.6709,2005,11,07,7.7925,7.8975,7.7017,7.7132,177810390
7.6977,2005,11,08,7.6773,7.7325,7.5684,7.6709,132038217
7.8347,2005,11,09,7.7027,7.8385,7.6837,7.6977,148455396
7.8808,2005,11,10,7.7694,7.8374,7.557,7.8347,186246267
7.8695,2005,11,11,7.8758,7.9538,7.8552,7.8808,118545663
7.9757,2005,11,14,7.8808,7.9372,7.8004,7.8695,103128186
8.3176,2005,11,15,7.8886,8.0784,7.8707,7.9757,150758829
8.2627,2005,11,16,8.1,8.3318,8.0796,8.3176,218223908
8.2677,2005,11,17,8.4009,8.4369,8.2281,8.2627,188541219
8.319,2005,11,18,8.3636,8.3789,8.2433,8.2677,146342787
8.5186,2005,11,21,8.3012,8.3484,8.1602,8.319,142584326
8.5943,2005,11,22,8.3228,8.5495,8.2627,8.5186,150663168
8.8799,2005,11,23,8.5699,8.7056,8.5402,8.5943,135469074
8.921,2005,11,25,8.6444,8.9054,8.6444,8.8799,110162197
8.7209,2005,11,28,9.0588,9.1005,8.8452,8.921,283877472
8.6853,2005,11,29,8.9636,9.0023,8.625,8.7209,248452151
9.1704,2005,11,30,8.7635,8.8171,8.6469,8.6853,165644525
9.3004,2005,12,01,8.8221,9.1867,8.8118,9.1704,226435371
9.1977,2005,12,02,9.2345,9.3146,9.054,9.3004,249726299
9.4849,2005,12,05,9.2162,9.2878,9.1557,9.1977,161051681
9.4719,2005,12,06,9.4739,9.582,9.3931,9.4849,238354819
9.4889,2005,12,07,9.506,9.534,9.3634,9.4719,188686785
9.516,2005,12,08,9.3723,9.4989,9.2966,9.4889,219470631
9.593,2005,12,09,9.506,9.551,9.3931,9.516,154868905
9.601,2005,12,12,9.6,9.651,9.547,9.593,146400006
9.2219,2005,12,13,9.591,9.666,9.503,9.601,137622629
9.2444,2005,12,14,9.2976,9.3861,8.9995,9.2219,404061552
9.1063,2005,12,15,9.3067,9.3313,9.1369,9.2444,156393442
9.1417,2005,12,16,9.2384,9.2586,9.0995,9.1063,185897396
9.2345,2005,12,19,9.0966,9.2966,9.0966,9.1417,147457351
9.413,2005,12,20,9.1674,9.2693,9.1072,9.2345,133547797
9.4819,2005,12,21,9.2917,9.4267,9.2888,9.413,131732602
9.3931,2005,12,22,9.467,9.538,9.4258,9.4819,103351853
9.506,2005,12,23,9.4969,9.51,9.3861,9.3931,64059818
9.4228,2005,12,27,9.4839,9.628,9.4719,9.506,164601939
9.15,2005,12,28,9.519,9.572,9.389,9.4228,110919913
9.2064,2005,12,29,9.4557,9.4557,9.1462,9.15,136655807
9.571,2005,12,30,9.0814,9.2751,9.0081,9.2064,174081204
9.6,2006,01,03,9.2722,9.571,9.2526,9.571,224233638
9.523,2006,01,04,9.628,9.73,9.54,9.6,172662101
9.769,2006,01,05,9.591,9.591,9.4458,9.523,124912881
9.739,2006,01,06,9.637,9.823,9.545,9.769,196417600
10.356,2006,01,09,9.835,9.886,9.7,9.739,188213509
10.744,2006,01,10,9.764,10.485,9.711,10.356,635685920
10.794,2006,01,11,10.737,10.859,10.577,10.744,416203660
10.959,2006,01,12,10.879,11.065,10.708,10.794,356865841
10.848,2006,01,13,10.888,11.015,10.833,10.959,216310030
10.565,2006,01,17,10.965,11.062,10.74,10.848,232661139
10.122,2006,01,18,10.641,10.764,10.48,10.565,332713712
9.742,2006,01,19,10.424,10.458,10.083,10.122,472861708
9.946,2006,01,20,10.154,10.25,9.711,9.742,317157060
9.738,2006,01,23,9.752,10.189,9.731,9.946,295519535
9.502,2006,01,24,10.088,10.169,9.704,9.738,318070991
9.2626,2006,01,25,9.917,9.925,9.3792,9.502,355727991
9.2237,2006,01,26,9.562,9.662,9.2122,9.2626,328984852
9.604,2006,01,27,9.3342,9.4258,9.1043,9.2237,265924867
9.672,2006,01,30,9.1282,9.809,9.0749,9.604,388283817
9.66,2006,01,31,9.671,9.775,9.4458,9.672,254411304
9.2335,2006,02,01,9.604,9.79,9.558,9.66,145338449
9.1995,2006,02,02,9.647,9.652,9.2267,9.2335,197102201
8.6186,2006,02,03,9.2556,9.3215,9.0966,9.1995,193012150
8.6569,2006,02,06,9.2414,9.2849,8.5469,8.6186,460627942
8.8118,2006,02,07,8.7516,8.8977,8.5391,8.6569,386911118
8.3176,2006,02,08,8.7671,8.8466,8.4521,8.8118,265774594
8.6199,2006,02,09,8.8632,8.8656,8.2639,8.3176,320518384
8.287,2006,02,10,8.3406,8.666,8.055,8.6199,490534811
8.6621,2006,02,13,8.5186,8.5482,8.2779,8.287,246305917
8.8644,2006,02,14,8.338,8.7209,8.3241,8.6621,323721270
9.0369,2006,02,15,8.6199,8.9156,8.5482,8.8644,319780928
9.0013,2006,02,16,8.9636,9.093,8.8977,9.0369,264382770
8.8466,2006,02,17,9.0043,9.0774,8.9147,9.0013,160611426
9.1331,2006,02,21,9.0447,9.0654,8.7952,8.8466,217343065
9.1896,2006,02,22,8.8426,9.1787,8.7083,9.1331,272787728
9.152,2006,02,23,9.1924,9.3489,9.1472,9.1896,238898288
9.09,2006,02,24,9.2276,9.3342,9.1178,9.152,149120330
8.7708,2006,02,27,9.2228,9.2365,9.0474,9.09,220603158
8.8492,2006,02,28,9.1704,9.2712,8.7209,8.7708,352990588
8.9147,2006,03,01,8.8364,8.899,8.711,8.8492,212775717
8.6722,2006,03,02,8.8389,8.9636,8.7937,8.9147,174344973
8.3855,2006,03,03,8.8785,8.9529,8.648,8.6722,205588060
8.4917,2006,03,06,8.6569,8.6722,8.3161,8.3855,254456317
8.4084,2006,03,07,8.4215,8.5673,8.3341,8.4917,243243543
8.1871,2006,03,08,8.4983,8.606,8.3687,8.4084,181885134
8.0921,2006,03,09,8.4637,8.5124,8.1717,8.1871,222814141
8.4112,2006,03,10,8.2064,8.259,7.9975,8.0921,290860787
8.6212,2006,03,13,8.338,8.4877,8.297,8.4112,240137202
8.4816,2006,03,14,8.425,8.6212,8.388,8.6212,179026268
8.2356,2006,03,15,8.6853,8.7136,8.3906,8.4816,248753704
8.2806,2006,03,16,8.5661,8.5673,8.2343,8.2356,208901227
8.1947,2006,03,17,8.2905,8.3931,8.2103,8.2806,226426802
7.9154,2006,03,20,8.3509,8.383,8.1791,8.1947,168796439
7.8975,2006,03,21,8.2343,8.2396,7.8616,7.9154,374628693
7.7041,2006,03,22,7.9732,8.1,7.8465,7.8975,375312303
7.6786,2006,03,23,7.9002,7.9272,7.6339,7.7041,397822515
7.6209,2006,03,24,7.7182,7.8041,7.5595,7.6786,298928443
7.5187,2006,03,27,7.7132,7.8604,7.6071,7.6209,308428049
7.9822,2006,03,28,7.6439,7.7017,7.4596,7.5187,381497781
8.0359,2006,03,29,7.5724,8.0062,7.3854,7.9822,652507842
8.032,2006,03,30,8.0488,8.1064,7.8796,8.0359,387195087
8.023,2006,03,31,8.0988,8.1459,7.9706,8.032,226141936
7.8334,2006,04,03,8.1524,8.2116,8.0181,8.023,227495440
8.6071,2006,04,04,7.9538,7.9681,7.818,7.8334,259885126
9.1235,2006,04,05,8.287,8.6071,8.215,8.6071,622535329
8.9371,2006,04,06,8.7465,9.2267,8.7339,9.1235,741695172
8.7937,2006,04,07,9.0794,9.1187,8.7681,8.9371,430915952
8.707,2006,04,10,8.9957,9.0824,8.7659,8.7937,251933041
8.543,2006,04,11,8.8399,8.8747,8.5891,8.707,261920672
8.511,2006,04,12,8.7259,8.73,8.4905,8.543,206262018
8.2997,2006,04,13,8.4905,8.6364,8.4278,8.511,204875670
8.4804,2006,04,17,8.5175,8.5596,8.2408,8.2997,201207768
8.4073,2006,04,18,8.3241,8.5124,8.297,8.4804,221406133
8.6609,2006,04,19,8.5571,8.5801,8.3843,8.4073,299730791
8.5852,2006,04,20,8.9003,8.9645,8.4778,8.6609,464772054
8.4201,2006,04,21,8.7681,8.7901,8.5124,8.5852,220010056
8.4739,2006,04,24,8.5699,8.5699,8.388,8.4201,197137617
8.7274,2006,04,25,8.4481,8.5276,8.3957,8.4739,147397311
8.8826,2006,04,26,8.5289,8.7439,8.5032,8.7274,198226556
9.0137,2006,04,27,8.6748,8.9462,8.625,8.8826,235896757
8.9127,2006,04,28,8.8682,9.1311,8.8619,9.0137,211664380
9.1724,2006,05,01,9.0635,9.1615,8.8568,8.9127,209203761
9.11,2006,05,02,8.9842,9.2182,8.9787,9.1724,215024377
9.1081,2006,05,03,9.2132,9.2132,8.9881,9.11,191525089
9.2064,2006,05,04,9.0985,9.3342,9.0232,9.1081,239941811
9.2064,2006,05,05,9.2084,9.2526,9.1109,9.2064,156978095
9.0958,2006,05,08,9.3352,9.4527,9.1857,9.2064,165851949
9.0407,2006,05,09,9.1953,9.2917,9.0437,9.0958,148225167
8.7274,2006,05,10,9.1311,9.135,8.9147,9.0407,128253590
8.6698,2006,05,11,9.0514,9.0711,8.6505,8.7274,225979072
8.6812,2006,05,12,8.7274,8.7966,8.5621,8.6698,178977080
8.3216,2006,05,15,8.5956,8.7571,8.5956,8.6812,147508789
8.3574,2006,05,16,8.7404,8.7404,8.2918,8.3216,261213272
8.0909,2006,05,17,8.2984,8.4138,8.2049,8.3574,207766699
8.2614,2006,05,18,8.4009,8.4854,8.0831,8.0909,183558785
8.1167,2006,05,19,8.0909,8.3088,8.0448,8.2614,274925184
8.0871,2006,05,22,8.1704,8.1947,8.0384,8.1167,200333908
8.1112,2006,05,23,8.3062,8.3484,8.0679,8.0871,193654365
8.2382,2006,05,24,8.0615,8.1511,7.8835,8.1112,255456642
8.1371,2006,05,25,8.2294,8.2534,8.105,8.2382,129224146
7.8399,2006,05,26,8.2343,8.2677,8.0856,8.1371,120732452
7.6543,2006,05,30,8.0856,8.1064,7.8385,7.8399,157000249
7.9617,2006,05,31,7.9092,7.9128,7.516,7.6543,357139520
7.8962,2006,06,01,7.6644,7.9757,7.6221,7.9617,262836804
7.6837,2006,06,02,8.064,8.0808,7.7966,7.8962,191223272
7.6478,2006,06,05,7.831,7.831,7.6798,7.6837,168902698
7.4992,2006,06,06,7.7146,7.7643,7.5443,7.6478,202479562
7.7811,2006,06,07,7.6901,7.7349,7.4724,7.4992,208945143
7.5864,2006,06,08,7.4737,7.8028,7.3189,7.7811,389578248
7.2996,2006,06,09,7.8359,7.8835,7.5684,7.5864,216356184
7.4698,2006,06,12,7.612,7.6492,7.2945,7.2996,200128458
7.3776,2006,06,13,7.3776,7.5684,7.3457,7.4698,301127099
7.6043,2006,06,14,7.4698,7.5274,7.2597,7.3776,244827075
7.3711,2006,06,15,7.3571,7.6503,7.2677,7.6043,331944922
7.325,2006,06,16,7.5544,7.5801,7.365,7.3711,233702130
7.3596,2006,06,19,7.4019,7.4505,7.2996,7.325,196421711
7.4097,2006,06,20,7.3776,7.4724,7.3367,7.3596,187432927
7.6299,2006,06,21,7.3969,7.5187,7.338,7.4097,240704518
7.5339,2006,06,22,7.4366,7.6517,7.4366,7.6299,269417104
7.5544,2006,06,23,7.6478,7.7055,7.5212,7.5339,184050428
7.3545,2006,06,26,7.576,7.5812,7.475,7.5544,130041821
7.1739,2006,06,27,7.5712,7.5839,7.3507,7.3545,152995106
7.5516,2006,06,28,7.338,7.338,7.0958,7.1739,237190726
7.3339,2006,06,29,7.2728,7.5674,7.2212,7.5516,243081258
7.4212,2006,06,30,7.3725,7.3957,7.2355,7.3339,205692461
7.2996,2006,07,03,7.3433,7.4505,7.3433,7.4212,54318807
7.142,2006,07,05,7.3123,7.3763,7.2432,7.2996,144500022
7.0945,2006,07,06,7.325,7.3507,7.1215,7.142,176570109
7.0434,2006,07,07,7.1163,7.2418,7.0012,7.0945,222831763
7.1266,2006,07,10,7.1369,7.2342,6.9795,7.0434,147582157
6.7821,2006,07,11,7.0551,7.17,6.9834,7.1266,230066263
6.6912,2006,07,12,7.0663,7.0741,6.7758,6.7821,258400110
6.4888,2006,07,13,6.6654,6.9309,6.5838,6.6912,348524593
6.7066,2006,07,14,6.7219,6.7735,6.4236,6.4888,276849590
6.7744,2006,07,17,6.6143,6.8014,6.6143,6.7066,285724411
6.9282,2006,07,18,6.8117,6.896,6.6401,6.7744,279206670
7.7478,2006,07,19,6.7808,7.0537,6.7053,6.9282,387459617
7.776,2006,07,20,7.8066,7.8875,7.6478,7.7478,549994902
7.8656,2006,07,21,7.6478,7.831,7.6376,7.776,248733555
7.9295,2006,07,24,7.8385,7.9526,7.7389,7.8656,201557145
8.1791,2006,07,25,7.914,7.9513,7.7835,7.9295,164269916
8.1192,2006,07,26,7.9451,8.2779,7.8989,8.1791,250546553
8.3996,2006,07,27,8.2601,8.3267,8.05,8.1192,204990178
8.703,2006,07,28,8.1883,8.4112,8.132,8.3996,192836918
8.6031,2006,07,31,8.5584,8.7888,8.4877,8.703,248996662
8.7287,2006,08,01,8.6085,8.699,8.4444,8.6031,198097896
8.9117,2006,08,02,8.6595,8.7952,8.6456,8.7287,153567749
8.7465,2006,08,03,8.6906,8.9645,8.6825,8.9117,234536065
8.6071,2006,08,04,8.5827,8.7864,8.319,8.7465,516715761
8.2957,2006,08,07,8.6761,8.9127,8.4917,8.6071,347318741
8.1434,2006,08,08,8.5929,8.5943,8.2614,8.2957,278228723
8.2049,2006,08,09,8.3687,8.4009,8.1192,8.1434,266480460
8.1511,2006,08,10,8.0871,8.2997,8.0295,8.2049,194571588
8.1883,2006,08,11,8.0988,8.2129,8.0142,8.1511,216809551
8.5098,2006,08,14,8.1871,8.3522,8.1445,8.1883,200099251
8.7056,2006,08,15,8.3537,8.5162,8.2984,8.5098,240208980
8.6556,2006,08,16,8.5865,8.7171,8.4943,8.7056,217878211
8.6964,2006,08,17,8.7083,8.7925,8.6031,8.6556,160732524
8.5238,2006,08,18,8.6711,8.7595,8.6133,8.6964,149567697
8.6595,2006,08,21,8.6199,8.6199,8.471,8.5238,146715505
8.6199,2006,08,22,8.5316,8.7491,8.5162,8.6595,160867551
8.6839,2006,08,23,8.7149,8.7914,8.5725,8.6199,148998938
8.8042,2006,08,24,8.7016,8.7325,8.4867,8.6839,182662425
8.5776,2006,08,25,8.6212,8.8426,8.6199,8.8042,151685941
8.5136,2006,08,28,8.7646,8.7864,8.5391,8.5776,205853968
8.5751,2006,08,29,8.5776,8.6133,8.3393,8.5136,264192324
8.6892,2006,08,30,8.6122,8.6853,8.5391,8.5751,189701849
8.7571,2006,08,31,8.6045,8.7465,8.5365,8.6892,160253963
9.1538,2006,09,01,8.7681,8.7914,8.6853,8.7571,113921390
8.9683,2006,09,05,8.8131,9.1567,8.7786,9.1538,282278178
9.3225,2006,09,06,9.1033,9.1817,8.9256,8.9683,271642103
9.2859,2006,09,07,9.0464,9.41,8.9967,9.3225,353598821
9.2839,2006,09,08,9.3899,9.4228,9.2093,9.2859,249843094
9.3004,2006,09,11,9.2859,9.4429,9.1462,9.2839,264623429
9.502,2006,09,12,9.3245,9.406,9.15,9.3004,469796238
9.4989,2006,09,13,9.3332,9.516,9.2586,9.502,319625217
9.4899,2006,09,14,9.4517,9.561,9.408,9.4989,223578145
9.4637,2006,09,15,9.572,9.601,9.3841,9.4899,273817900
